Время[с],Напряжение[В]
0.0006,1.1244
0.0012,1.1281
0.0018,1.1281
0.0025,1.1318
0.0031,1.1281
0.0038,1.1318
0.0045,1.1318
0.0051,1.1318
0.0058,1.1318
0.0065,1.1281
0.0072,1.1281
0.0080,1.1281
0.0087,1.1281
0.0093,1.1281
0.0100,1.1318
0.0107,1.1281
0.0114,1.1318
0.0120,1.1281
0.0127,1.1281
0.0133,1.1281
0.0140,1.1281
0.0146,1.1318
0.0153,1.1318
0.0159,1.1281
0.0166,1.1244
0.0172,1.1281
0.0179,1.1244
0.0186,1.1281
0.0239,1.1244
0.0245,1.1244
0.0252,1.1281
0.0259,1.1318
0.0265,1.1318
0.0272,1.1281
0.0278,1.1281
0.0284,1.1281
0.0290,1.1318
0.0296,1.1318
0.0303,1.1281
0.0309,1.1318
0.0316,1.1281
0.0322,1.1281
0.0329,1.1318
0.0335,1.1281
0.0341,1.1318
0.0347,1.1281
0.0353,1.1281
0.0360,1.1207
0.0366,1.1281
0.0373,1.1281
0.0380,1.1318
0.0386,1.1318
0.0393,1.1318
0.0399,1.1318
0.0405,1.1318
0.0412,1.1244
0.0419,1.1281
0.0425,1.1318
0.0432,1.1281
0.0438,1.1318
0.0444,1.1207
0.0450,1.1281
0.0456,1.1281
0.0462,1.1281
0.0468,1.1318
0.0475,1.1281
0.0482,1.1281
0.0488,1.1281
0.0495,1.1281
0.0501,1.1281
0.0507,1.1281
0.0514,1.1281
0.0521,1.1281
0.0527,1.1318
0.0534,1.1318
0.0540,1.1281
0.0547,1.1244
0.0554,1.1318
0.0561,1.1281
0.0567,1.1281
0.0574,1.1318
0.0580,1.1244
0.0587,1.1281
0.0593,1.1318
0.0601,1.1281
0.0607,1.1318
0.0614,1.1318
0.0621,1.1281
0.0629,1.1318
0.0636,1.1281
0.0644,1.1281
0.0650,1.1281
0.0657,1.1318
0.0664,1.1281
0.0672,1.1244
0.0680,1.1281
0.0687,1.1281
0.0696,1.1281
0.0705,1.1281
0.0713,1.1281
0.0720,1.1281
0.0727,1.1281
0.0734,1.1281
0.0741,1.1281
0.0751,1.1281
0.0788,1.1281
0.0797,1.1281
0.0805,1.1281
0.0812,1.1318
0.0820,1.1244
0.0827,1.1244
0.0835,1.1244
0.0842,1.1318
0.0851,1.1244
0.0860,1.1281
0.0868,1.1244
0.0876,1.1244
0.0884,1.1244
0.0892,1.1318
0.0912,1.1281
0.0919,1.1281
0.0927,1.1281
0.0934,1.1281
0.0941,1.1318
0.0949,1.1207
0.0956,1.1281
0.0964,1.1281
0.0971,1.1281
0.0979,1.1281
0.0986,1.1244
0.0994,1.1281
0.1002,1.1281
0.1009,1.1281
0.1016,1.1244
0.1024,1.1207
0.1031,1.1281
0.1038,1.1281
0.1045,1.1318
0.1052,1.1244
0.1060,1.1281
0.1067,1.1244
0.1074,1.1244
0.1081,1.1207
0.1088,1.1281
0.1096,1.1244
0.1103,1.1244
0.1110,1.1281
0.1117,1.1281
0.1125,1.1244
0.1132,1.1207
0.1139,1.1281
0.1146,1.1281
0.1154,1.1244
0.1163,1.1244
0.1171,1.1244
0.1179,1.1244
0.1186,1.1244
0.1193,1.1244
0.1200,1.1281
0.1207,1.1244
0.1214,1.1281
0.1222,1.1281
0.1229,1.1244
0.1236,1.1281
0.1245,1.1207
0.1253,1.1244
0.1260,1.1244
0.1268,1.1281
0.1275,1.1244
0.1283,1.1281
0.1290,1.1318
0.1296,1.1244
0.1303,1.1207
0.1309,1.1244
0.1316,1.1207
0.1322,1.1244
0.1328,1.1207
0.1335,1.1207
0.1341,1.1244
0.1348,1.1244
0.1354,1.1318
0.1361,1.1244
0.1368,1.1207
0.1374,1.1244
0.1381,1.1281
0.1387,1.1244
0.1395,1.1281
0.1402,1.1281
0.1409,1.1281
0.1417,1.1244
0.1424,1.1207
0.1431,1.1244
0.1439,1.1244
0.1446,1.1281
0.1453,1.1244
0.1460,1.1281
0.1467,1.1207
0.1475,1.1207
0.1481,1.1281
0.1489,1.1244
